Gene stable ID	Transcript stable ID	Gene name
OS01G0127600	OS01T0127600-01	
OS01G0127700	OS01T0127700-01	
OS01G0127900	OS01T0127900-01	
OS01G0128000	OS01T0128000-01	
OS01G0128100	OS01T0128100-01	
OS01G0128200	OS01T0128200-01	
OS01G0128250	OS01T0128250-01	
OS01G0128300	OS01T0128300-00	
OS01G0128400	OS01T0128400-01	
OS01G0128400	OS01T0128400-02	
OS01G0128700	OS01T0128700-01	
OS01G0128800	OS01T0128800-01	
OS01G0129200	OS01T0129200-01	SL1
OS01G0129500	OS01T0129500-02	
OS01G0129550	OS01T0129550-01	
OS01G0129600	OS01T0129600-00	
OS01G0129800	OS01T0129800-01	
OS01G0130000	OS01T0130000-01	MTP7
OS01G0130000	OS01T0130000-02	MTP7
OS01G0130100	OS01T0130100-01	
OS01G0130200	OS01T0130200-00	
OS01G0130400	OS01T0130400-01	
OS01G0130500	OS01T0130500-01	
OS01G0130900	OS01T0130900-01	
OS01G0131250	OS01T0131250-01	
OS01G0131300	OS01T0131300-01	
OS01G0131450	OS01T0131450-00	
OS01G0131600	OS01T0131600-01	
OS01G0131600	OS01T0131600-02	
OS01G0131800	OS01T0131800-01	
OS01G0131900	OS01T0131900-00	
OS01G0132000	OS01T0132000-01	
OS01G0132050	OS01T0132050-01	
OS01G0132100	OS01T0132100-00	
OS01G0132200	OS01T0132200-01	
OS01G0132400	OS01T0132400-01	
OS01G0132500	OS01T0132500-01	
OS01G0132700	OS01T0132700-01	
OS01G0132766	OS01T0132766-01	
OS01G0132800	OS01T0132800-01	
OS01G0133100	OS01T0133100-01	
OS01G0133100	OS01T0133100-02	
OS01G0133200	OS01T0133200-01	
OS01G0133400	OS01T0133400-01	
OS01G0133500	OS01T0133500-01	
OS01G0133500	OS01T0133500-02	
OS01G0133600	OS01T0133600-00	
OS01G0133650	OS01T0133650-00	
OS01G0133700	OS01T0133700-00	
OS01G0133799	OS01T0133799-00	
OS01G0133832	OS01T0133832-00	
OS01G0133866	OS01T0133866-00	
OS01G0133900	OS01T0133900-00	
OS01G0134200	OS01T0134200-01	
OS01G0134200	OS01T0134200-02	
OS01G0134500	OS01T0134500-01	
OS01G0134700	OS01T0134700-01	
OS01G0134800	OS01T0134800-01	
OS01G0134850	OS01T0134850-00	
OS01G0134900	OS01T0134900-01	
OS01G0135000	OS01T0135000-01	
OS01G0135600	OS01T0135600-01	
OS01G0135700	OS01T0135700-01	CML16
OS01G0135800	OS01T0135800-01	HSP16.6
OS01G0135900	OS01T0135900-02	HSP17.9B
OS01G0135900	OS01T0135900-01	HSP17.9B
OS01G0136000	OS01T0136000-00	HSP16.9C
OS01G0136050	OS01T0136050-00	
OS01G0136100	OS01T0136100-01	HSP16.9A
OS01G0136200	OS01T0136200-01	HSP16.9B
OS01G0136300	OS01T0136300-01	
OS01G0136400	OS01T0136400-01	
OS01G0136450	OS01T0136450-00	
OS01G0136500	OS01T0136500-00	
OS01G0136502	OS01T0136502-00	
OS01G0136600	OS01T0136600-01	
OS01G0136700	OS01T0136700-01	
OS01G0136800	OS01T0136800-01	
OS01G0136850	OS01T0136850-00	
OS01G0136900	OS01T0136900-00	
OS01G0137066	OS01T0137066-00	
OS01G0137125	OS01T0137125-00	
OS01G0137150	OS01T0137150-01	
OS01G0137200	OS01T0137200-00	
OS01G0137232	OS01T0137232-00	
OS01G0137250	OS01T0137250-00	
OS01G0137266	OS01T0137266-00	
OS01G0137282	OS01T0137282-00	
OS01G0137300	OS01T0137300-01	
OS01G0137400	OS01T0137400-00	
OS01G0137500	OS01T0137500-01	
OS01G0137550	OS01T0137550-01	
OS01G0137700	OS01T0137700-01	
OS01G0137750	OS01T0137750-00	
OS01G0137800	OS01T0137800-01	
OS01G0137875	OS01T0137875-00	
OS01G0137950	OS01T0137950-01	
OS01G0138000	OS01T0138000-00	
OS01G0138100	OS01T0138100-01	
OS01G0138232	OS01T0138232-00	
OS01G0138300	OS01T0138300-02	
OS01G0138300	OS01T0138300-01	
OS01G0138350	OS01T0138350-00	
OS01G0138400	OS01T0138400-01	
OS01G0138451	OS01T0138451-00	
OS01G0138500	OS01T0138500-01	
OS01G0138600	OS01T0138600-01	
OS01G0138800	OS01T0138800-01	
OS01G0138900	OS01T0138900-01	
OS01G0139000	OS01T0139000-00	
OS01G0139200	OS01T0139200-03	
OS01G0139200	OS01T0139200-02	
OS01G0139200	OS01T0139200-01	
OS01G0139600	OS01T0139600-01	
OS01G0139700	OS01T0139700-01	
OS01G0139900	OS01T0139900-01	
OS01G0140100	OS01T0140100-01	
OS01G0140400	OS01T0140400-02	
OS01G0140400	OS01T0140400-01	
OS01G0140500	OS01T0140500-01	
OS01G0140700	OS01T0140700-00	
OS01G0141000	OS01T0141000-01	
OS01G0141100	OS01T0141100-02	
